Employee_ID,Name,Department,Salary,Working_Hours_per_Week,Performance_Rating,Joining_Date,Age,Gender,Experience_Years,Job_Level,Bonus,Leave_Days_Taken,Remote_Work_Percentage,Customer_Satisfaction_Score
6860,Employee_22,Support,125795,58.0,3.1,12-09-2026,35.0,Female,34,Entry,15331.0,28,62.0,3.2
1734,Employee_23,Operations,116253,48.0,1.2,09-03-2037,31.0,Male,24,Lead,5242.0,9,53.0,1.0
7156,Employee_24,HR,107691,40.0,1.1,10-02-2034,34.0,Non-Binary,31,Mid,13745.0,20,9.0,3.8
9754,Employee_25,IT,139186,54.0,1.3,08-07-2047,32.0,Male,13,fresers,9445.0,9,50.0,2.1
2238,Employee_26,Finance,109615,32.0,1.1,30-11-2025,32.0,Female,4,Lead,19930.0,26,50.0,2.2
1583,Employee_27,Marketing,71214,51.0,1.0,20-03-2024,30.0,Not selected,34,Senior,11845.0,11,68.0,4.5
1112,Employee_28,Marketing,138730,31.0,4.2,14-06-2026,38.0,Not selected,6,Senior,12617.0,3,46.0,3.2
9706,Employee_31,Sales,133485,47.0,2.7,27-06-2031,23.0,Not selected,2,Lead,19715.0,7,21.0,4.0
7071,Employee_32,Support,121814,32.0,4.6,08-03-2033,37.0,Non-Binary,3,Entry,12839.0,17,44.0,3.1
9059,Employee_33,Operations,71733,58.0,4.1,04-02-2039,58.0,Non-Binary,14,fresers,4582.0,3,38.0,3.2
1725,Employee_34,Sales,49431,50.0,4.6,16-08-2033,28.0,Male,26,fresers,13954.0,16,50.0,4.5
9029,Employee_35,Support,122312,32.0,3.5,05-12-2030,47.0,Not selected,23,Senior,1740.0,4,66.0,1.2
9895,Employee_36,IT,107406,35.0,1.4,09-05-2047,31.0,Female,17,Lead,1041.0,4,35.0,1.1
4937,Employee_37,Sales,62254,44.0,4.6,13-05-2046,54.0,Non-Binary,31,Senior,9157.0,7,89.0,1.5
8608,Employee_38,HR,30288,49.0,4.1,24-05-2040,41.0,Male,2,Lead,18642.0,5,67.0,2.2
5852,Employee_41,Operations,122979,60.0,4.4,15-11-2024,27.0,Non-Binary,21,Lead,19428.0,5,53.0,1.8
3551,Employee_42,Operations,53337,38.0,3.4,30-11-2024,25.0,Not selected,27,Mid,14170.0,3,21.0,2.2
7323,Employee_43,Sales,56050,31.0,2.9,09-05-2040,24.0,Female,8,fresers,12608.0,23,2.0,2.0
7917,Employee_45,IT,86060,46.0,4.9,03-08-2026,47.0,Not selected,18,Mid,8030.0,8,46.0,2.4
7402,Employee_46,Operations,49475,51.0,3.4,04-02-2047,31.0,Male,33,Entry,7102.0,4,24.0,1.9
4496,Employee_47,Sales,71196,35.0,4.8,22-01-2031,59.0,Non-Binary,40,fresers,10605.0,1,50.0,3.1
5089,Employee_49,IT,35657,41.0,1.8,25-11-2042,24.0,Female,7,Mid,11125.0,14,90.0,1.6
4250,Employee_50,IT,112884,52.0,1.4,23-04-2023,27.0,Male,39,Entry,12880.0,17,65.0,3.2
1631,Employee_51,Operations,129323,53.0,1.7,07-05-2027,47.0,Female,33,Senior,15964.0,18,9.0,3.9
4797,Employee_52,Sales,127472,44.0,4.5,25-02-2029,58.0,Not selected,7,Lead,7540.0,18,50.0,2.0
10920,Employee_53,Sales,64593,56.0,3.6,19-07-2038,59.0,Non-Binary,0,Lead,17323.0,16,80.0,2.1
5036,Employee_54,Marketing,82669,46.0,3.6,28-08-2032,52.0,Male,36,Entry,14080.0,3,22.0,
6387,Employee_55,Sales,47218,59.0,1.9,10-01-2044,27.0,Non-Binary,34,Senior,17020.0,19,69.0,4.1
2721,Employee_56,IT,128939,53.0,1.1,16-09-2033,37.0,Non-Binary,34,fresers,7871.0,22,85.0,3.7
9537,Employee_57,Finance,103723,35.0,1.3,15-10-2033,40.0,Not selected,20,Mid,2164.0,23,27.0,1.3
7798,Employee_58,Operations,81173,32.0,3.1,21-09-2027,39.0,Not selected,6,fresers,6319.0,24,10.0,3.8
9810,Employee_59,Sales,81881,59.0,3.1,14-08-2036,34.0,Non-Binary,9,Senior,10605.0,12,50.0,3.5
9294,Employee_61,Support,75159,47.0,2.3,10-09-2046,55.0,Female,3,Lead,15176.0,19,61.0,2.1
5280,Employee_63,Sales,56177,42.0,1.6,15-01-2035,22.0,Female,3,Senior,8701.0,17,91.0,4.6
2995,Employee_64,Marketing,139092,37.0,2.6,25-04-2037,33.0,Non-Binary,21,Entry,2616.0,16,69.0,1.7
3045,Employee_65,Sales,126036,53.0,1.6,14-04-2027,46.0,Female,33,Entry,18944.0,28,67.0,4.8
9764,Employee_66,Marketing,140843,36.0,1.5,21-04-2048,30.0,Female,31,Lead,11232.0,17,54.0,1.3
3076,Employee_67,Operations,87291,43.0,3.1,22-01-2032,26.0,Female,16,Mid,1012.0,20,32.0,2.8
1932,Employee_68,Marketing,124955,56.0,2.5,22-10-2028,36.0,Non-Binary,23,Lead,2318.0,30,66.0,2.6
8455,Employee_70,Marketing,132256,52.0,4.1,25-11-2036,58.0,Non-Binary,23,fresers,8248.0,13,29.0,4.3
1340,Employee_71,HR,66044,56.0,3.0,02-09-2034,53.0,Non-Binary,17,Senior,19116.0,12,60.0,4.5
3404,Employee_72,HR,109758,37.0,2.4,31-01-2035,46.0,Non-Binary,39,Entry,10605.0,23,34.0,2.3
2464,Employee_73,HR,142875,37.0,1.4,10-07-2042,31.0,Male,24,fresers,7725.0,29,70.0,4.0
5557,Employee_74,HR,96836,36.0,1.1,18-10-2038,37.0,Female,19,fresers,15600.0,24,7.0,3.0
5143,Employee_76,Sales,124743,49.0,4.0,14-02-2044,60.0,Female,14,fresers,13642.0,1,64.0,3.1
10904,Employee_77,Sales,108699,51.0,2.5,02-04-2023,52.0,Non-Binary,7,fresers,7184.0,28,50.0,3.4
8682,Employee_78,Sales,109565,40.0,1.6,29-06-2030,54.0,Not selected,39,Mid,11974.0,15,76.0,4.7
7188,Employee_79,Sales,125522,57.0,2.7,07-04-2030,37.0,Non-Binary,12,fresers,13630.0,29,47.0,2.6
9046,Employee_80,HR,90557,48.0,4.3,07-02-2039,52.0,Non-Binary,16,Lead,13454.0,9,92.0,3.6
10881,Employee_83,Sales,112563,58.0,2.5,29-11-2025,54.0,Male,25,Lead,12877.0,19,61.0,1.2
7332,Employee_84,Finance,103066,53.0,1.4,11-09-2045,44.0,Non-Binary,9,Entry,19615.0,6,71.0,2.9
9434,Employee_85,Marketing,129386,42.0,2.3,13-08-2036,38.0,Not selected,21,Entry,19372.0,17,81.0,3.5
2301,Employee_87,Support,40453,36.0,3.2,21-05-2024,27.0,Non-Binary,27,fresers,10605.0,24,54.0,3.2
10975,Employee_88,Operations,114647,54.0,3.1,02-11-2039,25.0,Not selected,32,Senior,6591.0,23,86.0,4.3
1374,Employee_89,Operations,74571,32.0,3.3,11-10-2037,42.0,Non-Binary,10,Entry,10605.0,2,29.0,1.4
4539,Employee_91,Sales,136913,53.0,4.0,29-06-2025,24.0,Non-Binary,5,Entry,13926.0,30,28.0,1.5
3297,Employee_92,Operations,134064,47.0,1.7,24-04-2023,41.0,Non-Binary,34,Lead,15313.0,7,50.0,3.2
6806,Employee_94,Finance,69536,55.0,3.1,24-06-2046,44.0,Not selected,31,Mid,13712.0,6,20.0,2.9
3432,Employee_95,Finance,36426,31.0,2.7,16-12-2033,51.0,Not selected,29,Entry,18815.0,13,58.0,3.8
2172,Employee_96,IT,77580,44.0,4.7,04-01-2027,42.0,Male,4,Lead,15677.0,23,80.0,1.6
10978,Employee_97,IT,46251,56.0,4.4,28-08-2039,42.0,Non-Binary,24,Entry,10965.0,4,15.0,3.0
5770,Employee_99,HR,33160,57.0,4.0,19-12-2034,41.0,Non-Binary,15,Senior,8503.0,19,38.0,4.5
6934,Employee_100,Marketing,145489,40.0,1.1,31-08-2027,45.0,Non-Binary,38,Mid,15416.0,4,22.0,3.5
8461,Employee_101,HR,132536,60.0,1.7,03-10-2040,35.0,Not selected,29,Entry,4202.0,26,50.0,3.6
8290,Employee_102,Operations,34107,38.0,4.6,26-02-2042,27.0,Not selected,28,Entry,8414.0,20,70.0,1.3
7630,Employee_103,Operations,113809,38.0,4.4,21-12-2024,35.0,Female,6,fresers,9962.0,6,5.0,3.8
8481,Employee_104,Finance,131352,45.0,1.2,08-01-2044,58.0,Non-Binary,35,fresers,10605.0,21,93.0,1.8
4004,Employee_105,Finance,67040,57.0,3.4,19-09-2025,53.0,Not selected,28,fresers,10605.0,27,7.0,1.1
6087,Employee_106,IT,88355,57.0,3.9,17-09-2046,54.0,Non-Binary,16,Senior,7795.0,30,14.0,
1721,Employee_108,Sales,46450,52.0,1.7,19-08-2041,57.0,Female,38,Senior,12311.0,20,37.0,3.8
2538,Employee_109,IT,42646,50.0,2.6,14-12-2025,30.0,Non-Binary,7,Senior,19299.0,14,73.0,4.1
9006,Employee_110,IT,33015,32.0,3.3,21-06-2034,58.0,Male,27,Mid,16874.0,15,50.0,1.4
1682,Employee_112,HR,60266,45.0,4.8,12-11-2045,36.0,Not selected,20,Entry,7371.0,23,63.0,2.1
8530,Employee_114,Finance,47980,40.0,2.8,04-12-2033,41.0,Male,14,Senior,10605.0,0,57.0,1.6
9735,Employee_115,Sales,142328,60.0,1.0,09-04-2031,31.0,Not selected,32,Mid,2441.0,2,69.0,3.2
6640,Employee_116,HR,69885,57.0,2.9,17-08-2034,31.0,Male,20,fresers,15554.0,4,74.0,1.5
4567,Employee_117,Operations,35606,59.0,3.4,17-11-2037,40.0,Not selected,25,Mid,1590.0,29,43.0,3.8
6287,Employee_118,IT,106421,30.0,3.9,22-05-2028,29.0,Not selected,1,Senior,7731.0,20,50.0,3.5
1292,Employee_119,Marketing,141550,40.0,1.9,22-07-2040,53.0,Non-Binary,25,Entry,4629.0,19,50.0,2.0
3341,Employee_120,Sales,45105,43.0,4.1,17-10-2027,42.0,Non-Binary,22,Senior,18997.0,25,52.0,1.8
9064,Employee_121,IT,55461,49.0,4.9,02-01-2044,54.0,Non-Binary,1,Lead,12483.0,15,4.0,2.9
1529,Employee_122,Finance,59090,47.0,1.3,08-11-2048,48.0,Non-Binary,20,Lead,8580.0,6,75.0,3.3
3130,Employee_123,Operations,126554,32.0,2.0,07-04-2040,53.0,Female,11,Mid,9001.0,29,63.0,4.0
7729,Employee_124,IT,135884,45.0,1.1,21-01-2045,35.0,Male,20,fresers,10772.0,2,78.0,2.3
5589,Employee_125,Finance,77470,31.0,3.0,31-05-2030,38.0,Not selected,22,fresers,15018.0,24,25.0,2.8
6310,Employee_126,Operations,146334,46.0,3.9,25-07-2038,40.0,Non-Binary,28,fresers,6850.0,25,68.0,2.6
6867,Employee_127,Support,128583,50.0,3.3,09-12-2027,43.0,Male,7,Lead,7409.0,23,8.0,2.4
6874,Employee_128,Sales,138897,48.0,1.4,05-01-2031,29.0,Male,0,Mid,16810.0,9,52.0,4.3
7929,Employee_129,HR,117132,36.0,2.9,19-07-2036,23.0,Female,19,fresers,6290.0,17,71.0,4.3
10836,Employee_130,Sales,131514,42.0,1.4,30-12-2033,41.0,Not selected,19,Senior,14043.0,0,32.0,2.3
10199,Employee_131,IT,91503,53.0,3.0,18-05-2032,59.0,Female,23,fresers,8155.0,26,50.0,2.5
2883,Employee_133,Sales,98514,45.0,2.3,14-08-2030,22.0,Non-Binary,37,Mid,1643.0,29,46.0,2.2
7226,Employee_134,Finance,70899,33.0,4.7,09-02-2040,40.0,Female,6,Lead,15047.0,8,76.0,3.2
7929,Employee_135,Marketing,115700,31.0,1.6,23-11-2043,33.0,Male,26,Lead,7959.0,12,12.0,1.5
1579,Employee_136,Finance,41639,43.0,2.1,08-05-2030,58.0,Female,26,Mid,8021.0,30,77.0,1.2
2804,Employee_137,IT,73043,37.0,3.3,09-01-2034,52.0,Female,16,Entry,3213.0,9,26.0,3.4
3435,Employee_138,IT,104079,40.0,3.9,03-07-2028,56.0,Male,29,Lead,14124.0,3,77.0,4.3
7075,Employee_139,Marketing,90472,53.0,4.2,20-01-2034,22.0,Male,33,Lead,19079.0,27,67.0,1.6
1950,Employee_140,Finance,114025,54.0,4.9,04-10-2047,26.0,Female,10,Lead,19225.0,10,39.0,2.2
5461,Employee_141,Support,71700,44.0,3.1,16-11-2024,39.0,Male,9,Mid,15457.0,23,63.0,1.3
3936,Employee_142,Support,99923,55.0,1.5,28-10-2043,46.0,Non-Binary,39,Entry,7459.0,27,44.0,1.4
1721,Employee_144,Operations,78652,51.0,2.9,05-01-2047,39.0,Male,17,Senior,12306.0,1,78.0,3.5
10156,Employee_145,IT,49017,53.0,1.6,17-03-2024,32.0,Male,34,Lead,5365.0,2,49.0,2.1
4282,Employee_146,Finance,141910,47.0,2.1,27-09-2028,42.0,Female,22,Senior,16087.0,19,91.0,3.7
7628,Employee_147,HR,68715,34.0,1.2,03-11-2030,59.0,Non-Binary,20,Mid,1841.0,8,28.0,4.3
2061,Employee_149,Sales,35571,55.0,3.5,10-01-2039,25.0,Non-Binary,23,Lead,9406.0,1,61.0,2.3
7769,Employee_150,IT,99193,40.0,2.7,05-10-2027,25.0,Female,12,fresers,4771.0,17,79.0,4.3
7550,Employee_151,HR,116604,30.0,4.0,03-11-2023,32.0,Female,11,Entry,19529.0,14,24.0,2.1
4349,Employee_155,Sales,101227,38.0,4.9,22-09-2031,35.0,Female,9,Senior,2925.0,16,5.0,
8745,Employee_156,Support,89476,38.0,3.6,14-02-2024,47.0,Female,13,Senior,2056.0,16,8.0,4.2
8147,Employee_157,HR,92577,48.0,3.7,21-06-2029,50.0,Male,25,Mid,15934.0,26,15.0,3.1
1595,Employee_158,Marketing,80586,38.0,2.5,14-07-2045,36.0,Non-Binary,37,Mid,13906.0,6,8.0,2.4
5993,Employee_159,Marketing,31434,30.0,1.0,13-08-2044,55.0,Not selected,39,Entry,8459.0,7,74.0,1.7
9428,Employee_160,HR,118209,33.0,4.2,04-06-2029,23.0,Female,35,Entry,13416.0,1,55.0,1.9
6339,Employee_161,HR,122998,47.0,3.9,11-02-2035,34.0,Not selected,21,Senior,16391.0,9,32.0,1.4
10636,Employee_162,Operations,96723,42.0,4.4,10-04-2043,40.0,Male,26,Lead,8262.0,23,58.0,3.7
3337,Employee_163,Operations,43845,57.0,1.3,04-01-2041,57.0,Female,13,Lead,9802.0,2,52.0,1.4
7477,Employee_164,HR,37264,45.0,1.8,25-11-2025,45.0,Not selected,35,Senior,16057.0,2,50.0,1.4
10039,Employee_165,Operations,108142,41.0,3.8,28-09-2048,53.0,Male,22,Senior,14613.0,26,59.0,4.2
9125,Employee_166,HR,88288,45.0,2.1,08-08-2024,54.0,Non-Binary,2,Mid,18684.0,8,29.0,2.8
1546,Employee_167,Support,119629,30.0,1.6,03-11-2043,53.0,Not selected,39,Entry,5708.0,1,23.0,1.6
4038,Employee_168,Support,100131,45.0,3.4,22-02-2040,47.0,Female,14,Lead,15319.0,23,84.0,3.9
8270,Employee_169,Marketing,31063,52.0,2.0,31-05-2047,39.0,Female,16,fresers,6445.0,13,49.0,1.2
7765,Employee_170,Finance,96787,41.0,4.6,19-09-2042,50.0,Female,5,Senior,3323.0,10,28.0,2.4
8319,Employee_171,Finance,134177,54.0,4.3,07-02-2045,47.0,Not selected,11,Lead,6254.0,27,89.0,2.7
2289,Employee_172,Support,131286,47.0,3.5,12-05-2034,58.0,Not selected,26,Entry,5961.0,1,9.0,3.6
10723,Employee_173,Sales,127238,42.0,2.7,12-08-2038,48.0,Male,3,Entry,19798.0,18,73.0,3.7
1719,Employee_174,HR,116096,60.0,3.6,04-11-2043,42.0,Not selected,15,Entry,9240.0,2,50.0,2.3
4131,Employee_175,IT,103180,52.0,1.8,06-09-2036,46.0,Not selected,2,Senior,10798.0,16,39.0,1.9
6946,Employee_177,Sales,120420,31.0,3.8,17-09-2035,40.0,Female,33,Lead,4429.0,5,51.0,3.5
7616,Employee_178,Support,138914,50.0,4.6,15-07-2041,23.0,Non-Binary,35,Senior,14963.0,8,32.0,1.8
9762,Employee_179,HR,35090,57.0,1.2,22-08-2043,51.0,Female,1,Lead,12715.0,29,50.0,2.1
3224,Employee_180,IT,120202,33.0,3.0,03-10-2043,,Male,30,Lead,4765.0,19,50.0,3.8
3656,Employee_181,IT,96064,49.0,2.1,22-01-2044,23.0,Male,15,Lead,13630.0,27,64.0,1.5
3223,Employee_182,Support,52891,43.0,1.7,01-10-2029,58.0,Male,27,Senior,17103.0,10,87.0,4.6
8239,Employee_184,IT,61888,48.0,1.1,30-03-2041,34.0,Non-Binary,16,Entry,2739.0,13,50.0,3.5
10304,Employee_185,IT,128524,59.0,2.9,22-09-2047,60.0,Not selected,24,Mid,11373.0,15,20.0,1.8
7303,Employee_187,IT,45462,55.0,2.6,21-02-2031,25.0,Not selected,22,Mid,11237.0,14,37.0,2.4
3127,Employee_188,Operations,136980,55.0,1.4,17-04-2023,42.0,Not selected,21,Entry,18543.0,7,71.0,1.2
8546,Employee_190,Finance,98733,37.0,3.2,14-02-2033,,Non-Binary,20,Lead,11260.0,30,22.0,1.7
1876,Employee_191,IT,95167,37.0,1.2,07-03-2047,30.0,Female,10,fresers,2712.0,9,90.0,2.2
2237,Employee_192,Finance,139170,56.0,2.1,21-12-2034,27.0,Male,3,Senior,19988.0,8,35.0,3.4
9574,Employee_193,Marketing,77761,49.0,2.2,10-10-2041,46.0,Male,33,Senior,16526.0,21,46.0,1.0
3767,Employee_194,Sales,95278,49.0,2.4,19-12-2045,35.0,Female,16,Mid,18318.0,19,94.0,2.2
1650,Employee_195,IT,120703,45.0,2.7,29-10-2033,56.0,Female,9,Senior,14131.0,28,55.0,2.3
4005,Employee_197,Marketing,72435,54.0,6.2,16-09-2046,44.0,Male,29,fresers,18700.0,3,61.0,4.7
10276,Employee_198,Finance,136187,42.0,4.7,21-04-2039,51.0,Male,20,Senior,19525.0,20,84.0,1.6
1369,Employee_199,Support,54589,59.0,3.5,19-10-2042,55.0,Male,4,Entry,15761.0,20,99.0,2.5
4965,Employee_200,Support,60566,47.0,4.1,17-01-2029,34.0,Non-Binary,23,Lead,6618.0,11,2.0,2.4
6007,Employee_201,Finance,115800,35.0,1.6,16-04-2035,34.0,Non-Binary,8,Mid,3259.0,15,63.0,2.4
9268,Employee_203,IT,144546,35.0,4.8,19-12-2048,34.0,Male,19,Mid,7645.0,27,65.0,4.0
5594,Employee_204,Operations,112745,38.0,2.8,25-06-2027,49.0,Non-Binary,37,Senior,8503.0,27,85.0,4.3
6732,Employee_205,IT,105208,57.0,5.0,13-07-2042,35.0,Non-Binary,1,Entry,10267.0,3,9.0,4.3
9059,Employee_206,IT,45913,54.0,2.8,29-12-2047,43.0,Male,13,Entry,10605.0,6,39.0,3.0
7629,Employee_207,Marketing,48252,56.0,4.9,13-07-2024,55.0,Non-Binary,19,Lead,6289.0,11,47.0,2.3
1237,Employee_208,Marketing,73313,59.0,3.9,25-08-2030,59.0,Non-Binary,11,Senior,19741.0,11,44.0,4.0
8490,Employee_209,Marketing,61842,49.0,5.0,17-03-2046,59.0,Non-Binary,33,Entry,2160.0,8,87.0,3.9
1710,Employee_210,HR,124632,60.0,4.5,21-01-2025,30.0,Non-Binary,19,Lead,16206.0,11,50.0,3.7
8348,Employee_211,IT,63911,30.0,1.9,14-03-2038,,Non-Binary,22,Mid,7395.0,19,48.0,1.4
5824,Employee_212,Support,84916,43.0,3.7,31-03-2045,35.0,Female,23,Mid,3611.0,30,40.0,4.1
5078,Employee_213,Operations,92688,44.0,3.8,22-07-2038,25.0,Female,3,Senior,6591.0,30,50.0,1.3
1214,Employee_215,Sales,111478,33.0,5.0,08-10-2041,31.0,Female,4,Lead,6902.0,23,50.0,3.6
3604,Employee_216,Support,147255,33.0,4.3,14-05-2031,50.0,Female,1,fresers,8863.0,27,14.0,4.1
1189,Employee_217,IT,33219,56.0,1.3,29-01-2037,35.0,Male,26,Senior,10605.0,23,22.0,1.4
1441,Employee_218,Finance,118220,49.0,3.3,30-05-2039,29.0,Female,28,Senior,10536.0,20,39.0,1.1
4199,Employee_219,Operations,59282,57.0,4.5,17-06-2045,51.0,Non-Binary,28,Mid,3850.0,28,67.0,3.0
4932,Employee_220,Operations,81018,38.0,4.6,17-07-2024,54.0,Non-Binary,31,Lead,15020.0,25,1.0,3.7
5041,Employee_221,Finance,102882,57.0,3.8,25-01-2034,43.0,Female,22,Entry,6704.0,4,52.0,2.8
2751,Employee_222,Sales,92612,41.0,3.1,25-03-2025,38.0,Not selected,24,Senior,13992.0,20,18.0,3.3
8710,Employee_223,Support,52924,41.0,4.5,19-06-2033,52.0,Not selected,0,Senior,19594.0,25,39.0,2.3
7187,Employee_224,Operations,55206,51.0,1.9,16-06-2048,55.0,Non-Binary,10,Senior,15304.0,17,72.0,3.1
9504,Employee_225,Sales,125266,54.0,4.0,27-11-2046,57.0,Not selected,26,Entry,18762.0,24,36.0,1.2
8823,Employee_226,Sales,55751,53.0,4.1,13-03-2035,58.0,Not selected,13,Senior,3497.0,18,50.0,4.9
7540,Employee_227,HR,141393,31.0,3.6,09-04-2023,45.0,Female,38,Mid,11352.0,24,27.0,4.3
7150,Employee_228,Support,122323,36.0,3.7,27-04-2023,33.0,Non-Binary,20,Lead,13039.0,26,74.0,4.4
1750,Employee_229,Operations,142403,33.0,1.1,20-11-2040,22.0,Female,23,Mid,10062.0,9,13.0,1.3
3380,Employee_230,HR,36680,30.0,2.2,18-05-2048,37.0,Not selected,18,Lead,7036.0,10,30.0,5.0
3388,Employee_231,Operations,119001,42.0,3.0,04-08-2028,37.0,Non-Binary,31,fresers,13855.0,19,91.0,1.5
6283,Employee_232,Sales,124184,56.0,2.8,04-12-2024,42.0,Not selected,1,fresers,4198.0,2,55.0,3.2
9521,Employee_233,Sales,135666,54.0,2.7,30-01-2036,55.0,Male,17,Lead,3698.0,17,79.0,2.4
3842,Employee_235,Support,57964,57.0,3.6,24-10-2024,33.0,Not selected,1,Lead,10020.0,6,75.0,3.0
3413,Employee_236,Sales,54352,54.0,2.1,12-05-2041,31.0,Female,25,fresers,17001.0,4,83.0,4.9
5139,Employee_237,Operations,147931,30.0,2.6,10-09-2045,59.0,Not selected,8,Senior,8429.0,22,97.0,3.1
1295,Employee_238,IT,97191,42.0,3.0,28-04-2046,24.0,Male,18,Lead,1498.0,2,50.0,3.3
9492,Employee_239,Marketing,91632,46.0,1.7,10-10-2042,45.0,Male,7,Mid,10605.0,22,16.0,2.0
2694,Employee_240,IT,91007,39.0,4.1,18-03-2025,59.0,Non-Binary,35,fresers,15144.0,2,30.0,
8047,Employee_241,Support,90577,47.0,1.6,28-10-2044,49.0,Female,0,Senior,8086.0,18,22.0,1.8
1722,Employee_242,IT,126552,38.0,1.8,08-12-2026,54.0,Male,13,Lead,2300.0,22,38.0,2.9
7377,Employee_244,Support,101493,43.0,3.4,17-04-2031,23.0,Non-Binary,10,Entry,5352.0,29,1.0,2.3
4459,Employee_245,IT,78755,53.0,2.8,15-11-2038,43.0,Female,36,Entry,10994.0,16,56.0,2.0
4882,Employee_246,IT,88063,51.0,2.2,18-01-2037,50.0,Female,34,Mid,17905.0,1,35.0,4.6
10907,Employee_247,Sales,32900,57.0,2.7,26-10-2034,25.0,Non-Binary,37,Lead,17799.0,22,97.0,4.2
3951,Employee_249,Support,142810,48.0,4.7,11-04-2048,32.0,Female,8,Lead,3497.0,12,53.0,1.4
9557,Employee_250,Support,105915,30.0,3.7,13-01-2044,53.0,Not selected,23,Senior,13829.0,20,0.0,3.2
2754,Employee_251,Finance,57236,60.0,2.4,28-05-2025,55.0,Not selected,12,fresers,14945.0,7,31.0,3.7
1928,Employee_254,IT,137641,50.0,1.5,07-02-2046,33.0,Female,30,Senior,3236.0,3,14.0,3.5
6462,Employee_255,Finance,30072,43.0,2.6,08-06-2036,24.0,Non-Binary,1,Entry,12430.0,2,44.0,1.8
10723,Employee_256,Support,59539,41.0,3.7,03-10-2044,60.0,Not selected,17,Entry,6057.0,25,50.0,4.7
4208,Employee_257,Operations,90392,58.0,4.7,25-01-2038,40.0,Not selected,3,Entry,4904.0,23,38.0,2.4
1753,Employee_258,Support,145556,33.0,3.8,09-08-2023,49.0,Not selected,23,fresers,16846.0,6,2.0,3.7
4158,Employee_259,Operations,76243,40.0,1.2,20-03-2041,43.0,Not selected,24,fresers,10605.0,4,57.0,3.5
8162,Employee_260,Support,58968,40.0,4.1,22-09-2037,59.0,Non-Binary,17,Mid,7831.0,28,30.0,4.6
4238,Employee_261,Marketing,143778,40.0,3.5,10-08-2033,59.0,Female,7,Entry,6404.0,20,52.0,
8881,Employee_262,Finance,55936,58.0,1.9,24-04-2027,32.0,Male,27,Senior,9351.0,6,76.0,3.9
8575,Employee_263,IT,69489,44.0,2.5,21-10-2031,54.0,Non-Binary,5,fresers,6339.0,1,85.0,4.0
7091,Employee_264,Finance,45633,57.0,5.0,04-05-2030,38.0,Non-Binary,7,Lead,2581.0,26,84.0,3.3
1985,Employee_265,Support,98963,57.0,3.1,05-10-2048,52.0,Male,2,fresers,1933.0,10,50.0,4.6
1515,Employee_266,IT,57759,48.0,1.4,15-04-2024,23.0,Male,4,Lead,8451.0,28,55.0,2.2
6174,Employee_267,HR,136592,60.0,2.7,31-10-2029,50.0,Non-Binary,38,fresers,8179.0,14,42.0,2.7
